District,Annual Normal (mm),Annual Actual (mm),%DEP,Excess/Normal/Large Excess/Deficienct/Large Deficient
BENGALURU URBAN,846,1128,33,E
BENGALURU RURAL,798,1256,57,E
RAMANAGARA,840,1087,29,E
KOLAR,735,1316,79,LE
CHIKKABALLAPURA,736,1269,73,LE
TUMAKURU,669,1109,66,LE
CHITRADURGA,540,872,61,LE
DAVANAGERE,659,987,50,E
CHAMARAJANAGARA,787,906,15,N
MYSURU,837,955,14,N
MANDYA,699,1011,45,E
BALLARI,599,684,14,N
KOPPALA,614,640,4,N
RAICHUR,654,624,-5,N
KALABURAGI,770,943,22,E
BIDAR,838,907,8,N
BELAGAVI,826,983,19,N
BAGALKOTE,582,550,-6,N
VIJAYAPURA,591,587,-1,N
GADAG,624,678,9,N
HAVERI,800,1013,27,E
DHARWAD,787,965,23,E
SHIVAMOGGA,2325,2444,5,N
HASSAN,1142,1363,19,N
CHIKKAMAGALURU,1833,2070,13,N
KODAGU,2729,2656,-3,N
DAKSHINA KANNADA,4006,3963,-1,N
UDUPI,4535,4797,6,N
UTTARA KANNADA,2936,3346,14,N
YADGIR,719,669,-7,N
VIJAYANAGAR,643,772,20,E
1.SIK,714,1050,47,E
2.NIK,702,780,11,N
3.MALNAD,1950,2100,8,N
4.COASTAL,3518,3784,8,N
State,1153,1337,16,N
