District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP,Class,,
D,BENGALURU URBAN,846,1456,72,LE,,
T,Anekal,902,1427,58,E,,
H,Anekal_1,902,1387,54,E,,
H,Attibele_1,824,1215,48,E,,
H,Jigani_1,845,1445,71,LE,,
H,Sarjapura_1,748,1438,92,LE,,
H,Anekal_2,881,1473,67,LE,,
H,Jigani_2,865,1625,88,LE,,
H,Attibele_2,857,1418,66,LE,,
H,Sarjapura_1,855,1507,76,LE,,
H,Sarjapura_3,814,1225,51,E,,
T,Bengaluru North,1004,1383,38,E,,
H,Bengaluru North_1,1004,1401,39,E,,
H,Dasanapura_1,896,1407,57,E,,
H,Yashavantapura_1,819,1249,53,E,,
H,Bengaluru North_2,854,1254,47,E,,
H,Yashavantapura_2,866,1369,58,E,,
H,Dasanapura_2,872,1443,65,LE,,
H,Dasanapura_3,900,1428,59,E,,
T,Bengaluru South,820,1495,82,LE,,
H,Beguru_3,820,1477,80,LE,,
H,Kengeri_1,905,1581,75,LE,,
H,Tavarekere_1,734,1586,116,LE,,
H,Uttarahalli_4,905,1608,78,LE,,
H,Uttarahalli_1,886,1349,52,E,,
H,Uttarahalli_2,872,1531,76,LE,,
H,Uttarahalli_3,863,1628,89,LE,,
H,Uttarahalli_5,941,1331,41,E,,
H,Beguru_1,912,1438,58,E,,
H,Beguru_2,875,1371,57,E,,
H,Kengeri_2,878,1580,80,LE,,
H,Kengeri_3,860,1434,67,LE,,
H,Kengeri_4,852,1547,82,LE,,
H,Tavarekere_2,961,1336,39,E,,
H,Tavarekere_3,871,1555,79,LE,,
T,Bengaluru East,815,1424,75,LE,,
H,Mahadevpura_1,815,1104,35,E,,
H,Bidarahalli_2,828,1320,59,E,,
H,Varturu_1,818,1589,94,LE,,
H,K R Pura_2,855,1229,44,E,,
H,K R Pura_3,827,1407,70,LE,,
H,Varturu_2,881,1398,59,E,,
H,Bidarahalli_1,821,1450,77,LE,,
H,Mahadevapura_2,882,1134,29,E,,
H,Marathahalli,891,1839,106,LE,,
H,Bidharahalli_3,799,1612,102,LE,,
T,Yelahanka,752,1543,105,LE,,
H,Yelahanka_1,752,1548,106,LE,,
H,Yelahanka_2,785,1279,63,LE,,
H,Yelahanka_3,801,1307,63,LE,,
H,Jala_1,760,1583,108,LE,,
H,Jala_2,763,1581,107,LE,,
H,Jala_3,781,1586,103,LE,,
H,Hesarughatta_1,746,1481,99,LE,,
H,Hesarughatta_2,781,1668,114,LE,,
D,BENGALURU RURAL,798,1498,88,LE,,
T,Devanahalli,808,1505,86,LE,,
H,Devanahalli,808,1398,73,LE,,
H,Channarayapatna,796,1656,108,LE,,
H,Kundana,786,1445,84,LE,,
H,Vijaypura,787,1556,98,LE,,
T,DODDABALLAPURA,799,1581,98,LE,,
H,Dodballapur,799,1490,87,LE,,
H,Dodda Belavangala,792,1670,111,LE,,
H,Madure,812,1684,107,LE,,
H,Sasalu,709,1537,117,LE,,
H,Tubagere,787,1559,98,LE,,
T,HOSAKOTE,857,1349,57,E,,
H,Hosakote,857,1257,47,E,,
H,Anugondhalli,731,1315,80,LE,,
H,Jadigenhalli,796,1431,80,LE,,
H,Nandagudi,777,1235,59,E,,
H,Sulibele,803,1491,86,LE,,
T,Nelamangala,954,1516,59,E,,
H,Nelamangala,954,1468,54,E,,
H,Sompura,794,1417,79,LE,,
H,Tyamagondal,877,1652,88,LE,,
H,Nelamangala_2,891,1460,64,LE,,
H,Sompura_2,827,1444,75,LE,,
H,Tyamagondal_2,870,1707,96,LE,,
D,RAMANAGARA,840,1512,80,LE,,
T,Channapatna,861,1581,83,LE,,
H,Channapatna,861,1661,93,LE,,
H,Maluru,843,1521,80,LE,,
H,Virupakshipura,843,1582,88,LE,,
T,Kanakapura,797,1438,81,LE,,
H,Kanakapura,797,1580,98,LE,,
H,Dodda Maralavadi,828,1656,100,LE,,
H,Harohalli,845,1725,104,LE,,
H,Kodihalli,802,1354,69,LE,,
H,Satnuru,798,1400,75,LE,,
H,Uyyamballi,792,1114,41,E,,
T,Magadi,1000,1546,55,E,,
H,Magadi,1000,1542,54,E,,
H,Kuduru,841,1734,106,LE,,
H,Madabal,968,1493,54,E,,
H,Solur,881,1491,69,LE,,
H,Tippasanara,822,1469,79,LE,,
T,Ramanagara,921,1590,73,LE,,
H,Ramanagara_1,921,1649,79,LE,,
H,Bidadi,865,1683,94,LE,,
H,Kailancha,867,1580,82,LE,,
H,Kutgallu,887,1442,63,LE,,
H,Ramanagara_2,889,1618,82,LE,,
H,Kailancha_2,872,1518,74,LE,,
D,KOLAR,735,1250,70,LE,,
T,Bangarapet,764,1283,68,LE,,
H,Bangarapet,764,1340,75,LE,,
H,Budikote,687,1207,76,LE,,
H,Kamsandra,778,1262,62,LE,,
H,Robertsonpet,818,1334,63,LE,,
T,Kolar,784,1334,70,LE,,
H,Kolar,784,1390,77,LE,,
H,Holuru,745,1363,83,LE,,
H,Huttur,768,1294,68,LE,,
H,Narasapura,753,1238,64,LE,,
H,Sugaturu,763,1190,56,E,,
H,Vakkaleri,738,1458,98,LE,,
H,Rajakallahalli Vemagal,758,1331,76,LE,,
T,Malur,798,1495,87,LE,,
H,Malur,798,1464,83,LE,,
